,Open,High,Low,Close,Volume,compound,negative,neutral,positive
2005-04-07,1.511786,1.5625,1.5089290000000002,1.555714,506987600.0,-0.8706,0.074,0.861,0.066
2005-04-08,1.560714,1.5875,1.555,1.562143,649950000.0,-0.9744,0.126,0.792,0.083
2005-04-11,1.576786,1.580357,1.496786,1.4971430000000001,821662800.0,-0.8974,0.076,0.859,0.065
2005-04-12,1.5175,1.5425,1.500357,1.523571,981061200.0,0.7669,0.062,0.868,0.071
2005-04-13,1.533929,1.5353569999999999,1.4425,1.465714,1371946800.0,0.9375,0.069,0.841,0.09
2005-04-14,1.3860709999999998,1.412857,1.315714,1.330714,2753192400.0,-0.5312,0.097,0.815,0.088
2005-04-15,1.307857,1.330357,1.26,1.2625,1728087200.0,-0.9957,0.152,0.781,0.067
2005-04-18,1.25,1.296429,1.214286,1.272143,1327177600.0,0.9444,0.09,0.792,0.118
2005-04-19,1.307143,1.337143,1.2810709999999998,1.324643,1081642800.0,-0.9944,0.127,0.829,0.045
2005-04-20,1.345,1.3478569999999999,1.265714,1.268214,945131600.0,-0.9376,0.087,0.844,0.068
2005-04-21,1.3,1.328929,1.282143,1.327857,759592400.0,-0.9919,0.127,0.823,0.049
2005-04-22,1.315714,1.3214290000000002,1.246429,1.267857,839129200.0,-0.9857,0.125,0.796,0.079
2005-04-25,1.3032139999999999,1.322143,1.289643,1.320714,746460400.0,-0.994,0.115,0.856,0.029
2005-04-26,1.3135709999999998,1.3396430000000001,1.29,1.2925,810507600.0,-0.9974,0.162,0.773,0.065
2005-04-27,1.281786,1.298571,1.268214,1.283929,613888800.0,-0.996,0.166,0.751,0.083
2005-04-28,1.296071,1.297857,1.2585709999999999,1.2692860000000001,575106000.0,-0.9951,0.164,0.746,0.09
